id: 617756
Withdraw 5000.0  You balance is 9000.0
Sun Jul 01 18:22:49 CST 2018
Deposit 2000.0  You balance is 14000.0
Sun Jul 01 18:22:49 CST 2018
deposit 2000.0  You balance is 12000.0
Fri Aug 04 19:38:31 CST 2017
deposit 10000.0  You balance is 10000.0
Fri Aug 04 19:19:30 CST 2017
withdraw 6000.0  You balance is 0.0
Fri Aug 04 19:18:31 CST 2017
deposit 5000.0  You balance is 6000.0
Fri Aug 04 19:18:31 CST 2017
id: 343717
withdraw 16000.0  You balance is 0.0
Fri Aug 04 19:38:02 CST 2017
deposit 5000.0  You balance is 16000.0
Fri Aug 04 19:38:02 CST 2017
id: 149051
Deposit 200.0  You balance is 2540.0
Tue Aug 15 16:59:56 CST 2017
Deposit 10000.0  You balance is 2340.0
Tue Aug 15 14:45:49 CST 2017
Deposit 6000.0  You balance is 12340.0
Tue Aug 15 14:44:05 CST 2017
Withdraw 5000.0  You balance is 6340.0
Tue Aug 15 14:44:05 CST 2017
Withdraw 5000.0  You balance is 11340.0
Tue Aug 15 14:44:05 CST 2017
Deposit 5000.0  You balance is 16340.0
Tue Aug 15 14:41:52 CST 2017
Deposit 500.0  You balance is 11340.0
Tue Aug 15 14:38:14 CST 2017
Deposit 400.0  You balance is 10840.0
Tue Aug 15 14:20:12 CST 2017
Deposit 100.0  You balance is 10420.0
Tue Aug 15 14:20:12 CST 2017
Deposit 20.0  You balance is 10320.0
Tue Aug 15 14:16:11 CST 2017
Deposit 5000.0  You balance is 10300.0
Tue Aug 15 13:59:54 CST 2017
deposit 5000.0  You balance is 5300.0
Tue Aug 15 08:50:54 CST 2017
deposit 100.0  You balance is 300.0
Tue Aug 15 08:45:53 CST 2017
deposit 100.0  You balance is 200.0
Tue Aug 15 08:45:53 CST 2017
deposit 100.0  You balance is 100.0
Tue Aug 15 08:43:52 CST 2017
deposit 100.0  You balance is 0.0
Tue Aug 15 08:42:10 CST 2017
deposit 100.0  You balance is 0.0
Tue Aug 15 08:41:12 CST 2017
deposit 100.0  You balance is 0.0
Tue Aug 15 08:40:18 CST 2017
deposit 100.0  You balance is 50.0
Tue Aug 15 08:30:37 CST 2017
deposit 100.0  You balance is 50.0
Tue Aug 15 08:30:37 CST 2017
deposit 100.0  You balance is 50.0
Tue Aug 15 08:22:07 CST 2017
deposit 100.0  You balance is 50.0
Mon Aug 14 22:11:50 CST 2017
deposit 100.0  You balance is 50.0
Mon Aug 14 22:11:50 CST 2017
deposit 100.0  You balance is 50.0
Mon Aug 14 22:01:45 CST 2017
deposit 100.0  You balance is 50.0
Mon Aug 14 22:01:45 CST 2017
deposit 100.0  You balance is 50.0
Mon Aug 14 22:01:45 CST 2017
id: 900387
Withdraw 6000.0  You balance is 4000.0
Thu Aug 17 10:35:59 CST 2017
Deposit 10000.0  You balance is 10000.0
Thu Aug 17 10:35:59 CST 2017
id: 213673
Deposit 101.0  You balance is 6000.0
Mon Aug 21 10:25:17 CST 2017
Withdraw 101.0  You balance is 5899.0
Mon Aug 21 10:25:17 CST 2017
Withdraw 4000.0  You balance is 6000.0
Mon Aug 21 10:22:22 CST 2017
Withdraw 6000.0  You balance is 10000.0
Mon Aug 21 10:08:43 CST 2017
id: 488701
Withdraw 1000.0  You balance is 9000.0
Mon Aug 21 10:45:21 CST 2017
Deposit 4800.0  You balance is 10000.0
Mon Aug 21 10:45:21 CST 2017
Deposit 200.0  You balance is 5200.0
Mon Aug 21 10:45:21 CST 2017
Deposit 0.0  You balance is 5000.0
Mon Aug 21 10:45:21 CST 2017
